file,class,function,line,has_emit,has_trace_emitter_attr,has_logger_call,classification
sovereignai\main.py,,build_container,25,True,True,False,TRACED
sovereignai\main.py,,teacher_worker_factory,226,False,False,False,PURE
sovereignai\main.py,,run_crash_recovery,252,False,False,False,PURE
sovereignai\conformance\base.py,BaseConformanceTest,test_component_has_required_interface,26,False,False,False,PURE
sovereignai\conformance\registry.py,,register,17,True,False,False,TRACED
sovereignai\conformance\registry.py,,decorator,19,True,False,False,TRACED
sovereignai\conformance\registry.py,,get_conformance_tests_for_class,30,True,False,False,TRACED
sovereignai\conformance\runner.py,ConformanceRunner,__init__,16,False,True,False,DUNDER_PROTOCOL
sovereignai\conformance\runner.py,ConformanceRunner,_cache_set,25,False,False,False,PURE
sovereignai\conformance\runner.py,ConformanceRunner,check,35,True,True,False,PURE
sovereignai\databases\base.py,DatabaseBase,name,30,False,False,False,PURE
sovereignai\databases\base.py,DatabaseBase,download,35,False,False,False,PURE
sovereignai\databases\base.py,DatabaseBase,update,40,False,False,False,PURE
sovereignai\databases\base.py,DatabaseBase,uninstall,45,False,False,False,PURE
sovereignai\databases\base.py,DatabaseBase,status,50,False,False,False,PURE
sovereignai\databases\registry.py,DatabaseRegistry,register,16,False,False,False,PURE
sovereignai\databases\registry.py,DatabaseRegistry,get,22,False,False,False,PURE
sovereignai\databases\registry.py,DatabaseRegistry,list_all,27,False,False,False,PURE
sovereignai\databases\registry.py,DatabaseRegistry,clear,32,False,False,False,PURE
sovereignai\databases\huggingface\cli.py,,huggingface,10,False,False,False,PURE
sovereignai\databases\huggingface\cli.py,,status,16,False,False,False,PURE
sovereignai\databases\huggingface\cli.py,,download,33,False,False,False,PURE
sovereignai\databases\huggingface\cli.py,,update,42,False,False,False,PURE
sovereignai\databases\huggingface\cli.py,,uninstall,51,False,False,False,PURE
sovereignai\databases\huggingface\database.py,HuggingFaceDatabase,__init__,16,False,True,False,DUNDER_PROTOCOL
sovereignai\databases\huggingface\database.py,HuggingFaceDatabase,name,26,False,False,False,PURE
sovereignai\databases\huggingface\database.py,HuggingFaceDatabase,download,30,True,True,False,PURE
sovereignai\databases\huggingface\database.py,HuggingFaceDatabase,update,57,True,True,False,PURE
sovereignai\databases\huggingface\database.py,HuggingFaceDatabase,uninstall,82,True,True,False,PURE
sovereignai\databases\huggingface\database.py,HuggingFaceDatabase,status,99,False,False,False,PURE
sovereignai\databases\huggingface\schema.py,,get_db_path,13,False,False,False,PURE
sovereignai\databases\huggingface\schema.py,,init_schema,18,True,False,False,PURE
sovereignai\databases\huggingface\schema.py,,migrate_to_v2,81,True,False,False,PURE
sovereignai\databases\huggingface\schema.py,,ensure_latest_schema,149,True,False,False,PURE
sovereignai\databases\huggingface\sync.py,HuggingFaceSync,__init__,55,False,True,False,DUNDER_PROTOCOL
sovereignai\databases\huggingface\sync.py,HuggingFaceSync,download,64,True,True,False,PURE
sovereignai\databases\huggingface\sync.py,HuggingFaceSync,update,90,True,True,False,PURE
sovereignai\databases\huggingface\sync.py,HuggingFaceSync,parse_org,123,False,False,False,PURE
sovereignai\databases\huggingface\sync.py,HuggingFaceSync,parse_quant_tag,135,False,False,False,PURE
sovereignai\databases\huggingface\sync.py,HuggingFaceSync,parse_file_type,152,False,False,False,PURE
sovereignai\databases\huggingface\sync.py,HuggingFaceSync,map_arch_to_family,172,False,False,False,PURE
sovereignai\databases\huggingface\sync.py,HuggingFaceSync,map_category_to_group,183,False,False,False,PURE
sovereignai\databases\huggingface\sync.py,HuggingFaceSync,parse_model_version,194,False,False,False,PURE
sovereignai\librarian\librarian.py,Librarian,__init__,39,False,True,False,DUNDER_PROTOCOL
sovereignai\librarian\librarian.py,Librarian,store,54,True,True,False,PURE
sovereignai\librarian\librarian.py,Librarian,query,93,True,True,False,PURE
sovereignai\librarian\librarian.py,Librarian,delete,136,True,True,False,PURE
sovereignai\librarian\librarian.py,Librarian,_route,172,False,False,False,PURE
sovereignai\librarian\librarian.py,Librarian,_merge_results,192,True,True,False,TRACED
sovereignai\memory\episodic_backend.py,EpisodicMemoryBackend,__init__,28,False,True,False,DUNDER_PROTOCOL
sovereignai\memory\episodic_backend.py,EpisodicMemoryBackend,_initialize_db,39,False,False,False,PURE
sovereignai\memory\episodic_backend.py,EpisodicMemoryBackend,store,70,True,True,False,PURE
sovereignai\memory\episodic_backend.py,EpisodicMemoryBackend,query,107,True,True,False,TRACED
sovereignai\memory\episodic_backend.py,EpisodicMemoryBackend,delete,178,True,True,False,PURE
sovereignai\memory\episodic_backend.py,EpisodicMemoryBackend,close,203,False,False,False,PURE
sovereignai\memory\procedural_backend.py,ProceduralMemoryBackend,__init__,39,False,True,False,DUNDER_PROTOCOL
sovereignai\memory\procedural_backend.py,ProceduralMemoryBackend,_ensure_file_exists,49,False,False,False,PURE
sovereignai\memory\procedural_backend.py,ProceduralMemoryBackend,_acquire_lock,55,True,True,False,TRACED
sovereignai\memory\procedural_backend.py,ProceduralMemoryBackend,_release_lock,94,False,False,False,PURE
sovereignai\memory\procedural_backend.py,ProceduralMemoryBackend,_atomic_write,101,True,True,False,TRACED
sovereignai\memory\procedural_backend.py,ProceduralMemoryBackend,_read_patterns,117,True,True,False,TRACED
sovereignai\memory\procedural_backend.py,ProceduralMemoryBackend,store,142,True,True,False,TRACED
sovereignai\memory\procedural_backend.py,ProceduralMemoryBackend,query,198,True,True,False,TRACED
sovereignai\memory\procedural_backend.py,ProceduralMemoryBackend,delete,233,True,True,False,PURE
sovereignai\memory\procedural_backend.py,ProceduralMemoryBackend,prune_low_confidence,267,True,True,False,PURE
sovereignai\memory\trace_backend.py,TraceMemoryBackend,__init__,31,False,True,False,DUNDER_PROTOCOL
sovereignai\memory\trace_backend.py,TraceMemoryBackend,_initialize_db,42,False,False,False,PURE
sovereignai\memory\trace_backend.py,TraceMemoryBackend,store,77,True,True,False,PURE
sovereignai\memory\trace_backend.py,TraceMemoryBackend,query,128,True,True,False,TRACED
sovereignai\memory\trace_backend.py,TraceMemoryBackend,delete,196,True,True,False,PURE
sovereignai\memory\trace_backend.py,TraceMemoryBackend,get_last_task_states,221,False,False,False,PURE
sovereignai\memory\trace_backend.py,TraceMemoryBackend,close,248,False,False,False,PURE
sovereignai\memory\working_backend.py,WorkingMemoryBackend,__init__,25,False,True,False,DUNDER_PROTOCOL
sovereignai\memory\working_backend.py,WorkingMemoryBackend,store,35,True,True,False,TRACED
sovereignai\memory\working_backend.py,WorkingMemoryBackend,query,69,True,True,False,TRACED
sovereignai\memory\working_backend.py,WorkingMemoryBackend,delete,98,True,True,False,TRACED
sovereignai\memory\working_backend.py,WorkingMemoryBackend,cleanup,121,True,True,False,PURE
sovereignai\orchestrator\dispatcher.py,MessageDispatcher,__init__,44,False,True,False,DUNDER_PROTOCOL
sovereignai\orchestrator\dispatcher.py,MessageDispatcher,dispatch,65,True,True,False,PURE
sovereignai\orchestrator\dispatcher.py,MessageDispatcher,_find_matching_skill,133,False,False,False,PURE
sovereignai\orchestrator\dispatcher.py,MessageDispatcher,_get_intent_keywords,162,False,False,False,PURE
sovereignai\orchestrator\dispatcher.py,MessageDispatcher,_get_capability_name,190,False,False,False,PURE
sovereignai\services\base.py,ServiceBase,name,30,False,False,False,PURE
sovereignai\services\base.py,ServiceBase,download,35,False,False,False,PURE
sovereignai\services\base.py,ServiceBase,update,40,False,False,False,PURE
sovereignai\services\base.py,ServiceBase,uninstall,45,False,False,False,PURE
sovereignai\services\base.py,ServiceBase,start,50,False,False,False,PURE
sovereignai\services\base.py,ServiceBase,stop,55,False,False,False,PURE
sovereignai\services\base.py,ServiceBase,restart,60,False,False,False,PURE
sovereignai\services\base.py,ServiceBase,status,65,False,False,False,PURE
sovereignai\services\registry.py,ServiceRegistry,register,16,False,False,False,PURE
sovereignai\services\registry.py,ServiceRegistry,get,22,False,False,False,PURE
sovereignai\services\registry.py,ServiceRegistry,list_all,27,False,False,False,PURE
sovereignai\services\registry.py,ServiceRegistry,clear,32,False,False,False,PURE
sovereignai\services\ollama\cli.py,,ollama,11,False,False,False,PURE
sovereignai\services\ollama\cli.py,,status,17,False,False,False,PURE
sovereignai\services\ollama\cli.py,,download,34,False,False,False,PURE
sovereignai\services\ollama\cli.py,,update,43,False,False,False,PURE
sovereignai\services\ollama\cli.py,,uninstall,52,False,False,False,PURE
sovereignai\services\ollama\cli.py,,start,61,False,False,False,PURE
sovereignai\services\ollama\cli.py,,stop,70,False,False,False,PURE
sovereignai\services\ollama\cli.py,,restart,79,False,False,False,PURE
sovereignai\services\ollama\service.py,OllamaService,__init__,20,False,True,False,DUNDER_PROTOCOL
sovereignai\services\ollama\service.py,OllamaService,name,33,False,False,False,PURE
sovereignai\services\ollama\service.py,OllamaService,download,37,True,True,False,PURE
sovereignai\services\ollama\service.py,OllamaService,update,90,True,True,False,PURE
sovereignai\services\ollama\service.py,OllamaService,uninstall,100,True,True,False,PURE
sovereignai\services\ollama\service.py,OllamaService,start,118,True,True,False,PURE
sovereignai\services\ollama\service.py,OllamaService,stop,149,True,True,False,PURE
sovereignai\services\ollama\service.py,OllamaService,restart,174,True,True,False,PURE
sovereignai\services\ollama\service.py,OllamaService,status,184,False,False,False,PURE
sovereignai\shared\auth.py,AuthMiddleware,__init__,51,False,True,False,DUNDER_PROTOCOL
sovereignai\shared\auth.py,AuthMiddleware,_load_users,65,True,True,False,PURE
sovereignai\shared\auth.py,AuthMiddleware,_save_users,86,False,False,False,PURE
sovereignai\shared\auth.py,AuthMiddleware,register_user,102,True,True,False,PURE
sovereignai\shared\auth.py,AuthMiddleware,login,131,True,True,False,PURE
sovereignai\shared\auth.py,AuthMiddleware,validate,171,False,False,False,PURE
sovereignai\shared\capability_api.py,CapabilityAPI,__init__,52,False,True,False,DUNDER_PROTOCOL
sovereignai\shared\capability_api.py,CapabilityAPI,query_capabilities,77,True,True,False,PURE
sovereignai\shared\capability_api.py,CapabilityAPI,submit_task,102,True,True,False,PURE
sovereignai\shared\capability_api.py,CapabilityAPI,get_task_state,180,False,False,False,PURE
sovereignai\shared\capability_graph.py,CapabilityGraph,__init__,79,False,True,False,DUNDER_PROTOCOL
sovereignai\shared\capability_graph.py,CapabilityGraph,register,97,True,True,False,TRACED
sovereignai\shared\capability_graph.py,CapabilityGraph,find_providers,179,False,False,False,PURE
sovereignai\shared\capability_graph.py,CapabilityGraph,list_all_components,197,False,False,False,PURE
sovereignai\shared\capability_graph.py,CapabilityGraph,remove,207,True,True,False,TRACED
sovereignai\shared\config_loader.py,,load_config,10,False,False,False,PURE
sovereignai\shared\config_loader.py,,save_config,19,False,False,False,PURE
sovereignai\shared\config_loader.py,,get_config_value,26,False,False,False,PURE
sovereignai\shared\config_loader.py,,set_config_value,35,False,False,False,PURE
sovereignai\shared\config_loader.py,,get_api_key,45,False,False,False,PURE
sovereignai\shared\config_loader.py,,set_api_key,49,False,False,False,PURE
sovereignai\shared\config_loader.py,,delete_api_key,53,True,False,False,TRACED
sovereignai\shared\container.py,DIContainer,__init__,37,False,True,False,DUNDER_PROTOCOL
sovereignai\shared\container.py,DIContainer,register_singleton,50,False,False,False,PURE
sovereignai\shared\container.py,DIContainer,register_factory,63,False,False,False,PURE
sovereignai\shared\container.py,DIContainer,retrieve,79,False,False,False,PURE
sovereignai\shared\container.py,DIContainer,remove,106,True,True,False,TRACED
sovereignai\shared\correlation.py,,set_correlation_id,21,False,False,False,PURE
sovereignai\shared\correlation.py,,get_correlation_id,32,False,False,False,PURE
sovereignai\shared\correlation.py,,new_correlation_scope,44,False,False,False,PURE
sovereignai\shared\correlation.py,CorrelationScope,__init__,59,False,False,False,DUNDER_PROTOCOL
sovereignai\shared\correlation.py,CorrelationScope,__enter__,68,False,False,False,DUNDER_PROTOCOL
sovereignai\shared\correlation.py,CorrelationScope,__exit__,74,False,False,False,DUNDER_PROTOCOL
sovereignai\shared\correlation.py,,generate_correlation_id,79,False,False,False,PURE
sovereignai\shared\correlation.py,,copy_correlation_id_to_thread,88,False,False,False,PURE
sovereignai\shared\correlation.py,,get_thread_correlation_id,97,False,False,False,PURE
sovereignai\shared\dag_validator.py,,validate_dag,21,True,False,False,TRACED
sovereignai\shared\event_bus.py,EventBus,__init__,33,False,True,False,DUNDER_PROTOCOL
sovereignai\shared\event_bus.py,EventBus,subscribe,45,True,True,False,TRACED
sovereignai\shared\event_bus.py,EventBus,publish,65,True,True,False,PURE
sovereignai\shared\hardware_probe.py,HardwareProbe,has_nvidia_gpu,8,False,False,False,PURE
sovereignai\shared\hardware_probe.py,HardwareProbe,get_vram_mb,30,False,False,False,PURE
sovereignai\shared\hardware_probe.py,HardwareProbe,has_cuda_via_torch,47,False,False,False,PURE
sovereignai\shared\hf_catalog.py,,detect_family,47,False,False,False,PURE
sovereignai\shared\hf_catalog.py,,fetch_gguf_models,62,True,False,False,TRACED
sovereignai\shared\hf_catalog.py,,get_model_files,113,True,False,False,TRACED
sovereignai\shared\lifecycle_manager.py,LifecycleManager,__init__,41,False,True,False,DUNDER_PROTOCOL
sovereignai\shared\lifecycle_manager.py,LifecycleManager,register,53,False,False,False,PURE
sovereignai\shared\lifecycle_manager.py,LifecycleManager,get_status,63,False,False,False,PURE
sovereignai\shared\lifecycle_manager.py,LifecycleManager,try_recover,83,True,True,False,PURE
sovereignai\shared\lifecycle_manager.py,LifecycleManager,set_status,106,True,True,False,PURE
sovereignai\shared\lifecycle_manager.py,LifecycleManager,reset,126,True,True,False,PURE
sovereignai\shared\lifecycle_manager.py,LifecycleManager,record_error,144,True,True,False,TRACED
sovereignai\shared\manifest_parser.py,,parse_manifest,27,False,False,False,PURE
sovereignai\shared\manifest_parser.py,,_parse_caps,117,True,False,False,TRACED
sovereignai\shared\manifest_parser.py,,_parse_priority,164,False,False,False,PURE
sovereignai\shared\models_db.py,,init_db,18,False,False,False,PURE
sovereignai\shared\models_db.py,,insert_or_update_model,66,False,False,False,PURE
sovereignai\shared\models_db.py,,get_models,115,True,False,False,TRACED
